Date,gme,sp500
2020-03-17,4.23,2529.19
2020-03-18,3.77,2398.1
2020-03-19,4.19,2409.39
2020-03-20,3.76,2304.92
2020-03-23,3.81,2237.4
2020-03-24,4.16,2447.33
2020-03-25,4.17,2475.56
2020-03-26,4.41,2630.07
2020-03-27,4.22,2541.47
2020-03-30,3.65,2626.65
2020-03-31,3.5,2584.59
2020-04-01,3.25,2470.5
2020-04-02,2.85,2526.9
2020-04-03,2.8,2488.65
2020-04-06,3.09,2663.68
2020-04-07,3.27,2659.41
2020-04-08,3.41,2749.98
2020-04-09,3.89,2789.82
2020-04-13,4.74,2761.63
2020-04-14,5.95,2846.06
2020-04-15,5.27,2783.36
2020-04-16,5.03,2799.55
2020-04-17,4.88,2874.56
2020-04-20,5.61,2823.16
2020-04-21,4.78,2736.56
2020-04-22,4.89,2799.31
2020-04-23,4.7,2797.8
2020-04-24,4.77,2836.74
2020-04-27,5.82,2878.48
2020-04-28,5.64,2863.39
2020-04-29,6.04,2939.51
2020-04-30,5.73,2912.43
2020-05-01,6.05,2830.71
2020-05-04,5.48,2842.74
2020-05-05,5.39,2868.44
2020-05-06,4.93,2848.42
2020-05-07,4.87,2881.19
2020-05-08,4.98,2929.8
2020-05-11,4.76,2930.19
2020-05-12,4.54,2870.12
2020-05-13,4.21,2820
2020-05-14,4.13,2852.5
2020-05-15,4.22,2863.7
2020-05-18,4.58,2953.91
2020-05-19,4.44,2922.94
2020-05-20,4.43,2971.61
2020-05-21,4.44,2948.51
2020-05-22,4.18,2955.45
2020-05-26,4.42,2991.77
2020-05-27,4.69,3036.13
2020-05-28,4.33,3029.73
2020-05-29,4.06,3044.31
2020-06-01,4.13,3055.73
2020-06-02,4.18,3080.82
2020-06-03,4.44,3122.87
2020-06-04,4.47,3112.35
2020-06-05,4.14,3193.93
2020-06-08,5.01,3232.39
2020-06-09,4.96,3207.18
2020-06-10,5.07,3190.14
2020-06-11,4.37,3002.1
2020-06-12,4.72,3041.31
2020-06-15,4.69,3066.59
2020-06-16,4.64,3124.74
2020-06-17,4.76,3113.49
2020-06-18,4.95,3115.34
2020-06-19,4.88,3097.74
2020-06-22,4.87,3117.86
2020-06-23,4.83,3131.29
2020-06-24,4.41,3050.33
2020-06-25,4.46,3083.76
2020-06-26,4.35,3009.05
2020-06-29,4.38,3053.24
2020-06-30,4.34,3100.29
2020-07-01,4.44,3115.86
2020-07-02,4.29,3130.01
2020-07-06,4.24,3179.72
2020-07-07,4.09,3145.32
2020-07-08,4.26,3169.94
2020-07-09,4.21,3152.05
2020-07-10,4.34,3185.04
2020-07-13,4.26,3155.22
2020-07-14,4.08,3197.52
2020-07-15,4.19,3226.56
2020-07-16,4.17,3215.57
2020-07-17,3.96,3224.73
2020-07-20,3.85,3251.84
2020-07-21,4.01,3257.3
2020-07-22,4.11,3276.02
2020-07-23,4.11,3235.66
2020-07-24,4.03,3215.63
2020-07-27,4.01,3239.41
2020-07-28,3.94,3218.44
2020-07-29,4.06,3258.44
2020-07-30,4.1,3246.22
2020-07-31,4.01,3271.12
2020-08-03,4.15,3294.61
2020-08-04,4.43,3306.51
